,user_id,vehicle_model,battery_capacity_kWh,charging_station_id,charging_station_location,charging_start,charging_end,charging_duration_hours,charging_cost_usd,time_of_day,day_of_week,vehicle_age_years,charger_type,user_type,vehicle_brand,ev_type,logo,state_id,state_name,lat,lng,type_of_current,voltage,connector_type,connector_image
299,350,Hyundai Kona,50.0,278,New York,2024-01-15 13:00:00,2024-01-15 14:25:00,3.77491,35.8525,Night,Wednesday,0,Level 1,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
300,351,Nissan Leaf,62.0,18,Chicago,2024-01-15 14:00:00,2024-01-15 17:00:00,2.49696,37.0493,Afternoon,Wednesday,6,Level 1,Commuter,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
301,352,Nissan Leaf,62.0,12,Chicago,2024-01-15 15:00:00,2024-01-15 15:54:00,2.31164,49.1375,Afternoon,Friday,2,DC Fast Charger,Commuter,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
302,353,Tesla Model 3,62.0,180,Los Angeles,2024-01-15 16:00:00,2024-01-15 18:14:00,1.16065,37.49,Evening,Monday,6,Level 2,Commuter,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
303,354,BMW i3,100.0,123,New York,2024-01-15 17:00:00,2024-01-15 19:43:00,0.554637,28.2929,Afternoon,Thursday,3,DC Fast Charger,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
304,355,Nissan Leaf,85.0,246,New York,2024-01-15 18:00:00,2024-01-15 20:28:00,1.81456,14.9964,Night,Thursday,3,Level 1,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
305,356,Chevy Bolt,75.0,222,Houston,2024-01-15 19:00:00,2024-01-15 22:11:00,1.4283,32.561,Afternoon,Wednesday,0,Level 2,Long-Distance Traveler,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
306,357,BMW i3,100.0,373,Houston,2024-01-15 20:00:00,2024-01-15 23:40:00,1.03786,18.3532,Night,Saturday,5,Level 2,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
307,358,Hyundai Kona,85.0,51,Los Angeles,2024-01-15 21:00:00,2024-01-15 21:38:00,2.47794,8.86005,Afternoon,Tuesday,1,Level 1,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,34.1139,-118.407,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
308,359,Tesla Model 3,100.0,488,New York,2024-01-15 22:00:00,2024-01-15 23:29:00,2.11367,37.4495,Night,Monday,2,Level 2,Casual Driver,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,NY,New York,40.6943,-73.9249,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
309,360,Hyundai Kona,75.0,71,Los Angeles,2024-01-15 23:00:00,2024-01-16 01:34:00,2.48638,7.40926,Evening,Sunday,8,Level 1,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,34.1139,-118.407,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
310,361,BMW i3,77.6085,480,Houston,2024-01-16 00:00:00,2024-01-16 01:18:00,1.75405,9.59516,Morning,Tuesday,7,DC Fast Charger,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
311,362,BMW i3,75.0,48,Houston,2024-01-16 01:00:00,2024-01-16 02:20:00,3.54898,36.5005,Morning,Monday,1,Level 2,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
312,363,BMW i3,85.0,19,Chicago,2024-01-16 02:00:00,2024-01-16 05:37:00,3.29096,16.8863,Night,Monday,3,Level 1,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
313,364,Hyundai Kona,50.0,262,Los Angeles,2024-01-16 03:00:00,2024-01-16 04:39:00,2.01229,7.80673,Afternoon,Friday,11,Level 1,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,34.1139,-118.407,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
314,365,BMW i3,100.0,84,Los Angeles,2024-01-16 04:00:00,2024-01-16 05:06:00,1.64348,35.9544,Afternoon,Wednesday,6,DC Fast Charger,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,34.1139,-118.407,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
315,366,Hyundai Kona,62.0,155,New York,2024-01-16 05:00:00,2024-01-16 06:00:00,1.24256,21.4889,Morning,Friday,0,Level 2,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
316,367,BMW i3,50.0,53,New York,2024-01-16 06:00:00,2024-01-16 09:18:00,2.87216,31.2263,Night,Saturday,7,Level 2,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,NY,New York,40.6943,-73.9249,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
317,368,Chevy Bolt,50.0,107,Chicago,2024-01-16 07:00:00,2024-01-16 08:31:00,2.00786,29.2344,Afternoon,Sunday,1,Level 2,Commuter,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
318,369,BMW i3,62.0,357,San Francisco,2024-01-16 08:00:00,2024-01-16 10:02:00,3.28409,10.9978,Morning,Tuesday,4,Level 2,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,37.7562,-122.443,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
319,370,Hyundai Kona,85.0,304,San Francisco,2024-01-16 09:00:00,2024-01-16 12:35:00,0.562817,34.4021,Night,Tuesday,7,DC Fast Charger,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,37.7562,-122.443,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
320,372,BMW i3,48.6369,443,Los Angeles,2024-01-16 11:00:00,2024-01-16 14:13:00,1.632,9.45976,Afternoon,Saturday,0,Level 2,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
321,373,Nissan Leaf,85.0,69,Los Angeles,2024-01-16 12:00:00,2024-01-16 15:13:00,0.828873,29.8484,Afternoon,Sunday,4,Level 1,Long-Distance Traveler,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,34.1139,-118.407,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
322,374,Chevy Bolt,75.0,11,Houston,2024-01-16 13:00:00,2024-01-16 14:48:00,1.54696,18.5429,Night,Saturday,3,Level 2,Long-Distance Traveler,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
323,375,Tesla Model 3,50.0,143,Los Angeles,2024-01-16 14:00:00,2024-01-16 14:37:00,2.29132,29.7636,Morning,Friday,3,Level 2,Casual Driver,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
324,378,Nissan Leaf,75.0,378,Chicago,2024-01-16 17:00:00,2024-01-16 18:17:00,1.3768,30.4736,Night,Friday,4,Level 1,Commuter,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
325,379,Nissan Leaf,85.0,69,Los Angeles,2024-01-16 18:00:00,2024-01-16 19:54:00,1.80928,28.1562,Evening,Thursday,6,DC Fast Charger,Long-Distance Traveler,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,34.1139,-118.407,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
326,380,Hyundai Kona,100.0,23,New York,2024-01-16 19:00:00,2024-01-16 19:57:00,1.76144,13.6074,Afternoon,Sunday,5,Level 1,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
327,381,Nissan Leaf,50.0,181,New York,2024-01-16 20:00:00,2024-01-16 23:45:00,0.749904,17.3616,Morning,Sunday,3,DC Fast Charger,Long-Distance Traveler,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
328,383,Tesla Model 3,62.0,9,Chicago,2024-01-16 22:00:00,2024-01-17 01:57:00,3.63679,15.3216,Night,Friday,4,Level 1,Long-Distance Traveler,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
329,384,BMW i3,100.0,271,New York,2024-01-16 23:00:00,2024-01-17 02:53:00,3.39975,15.2427,Morning,Sunday,1,Level 1,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,NY,New York,40.6943,-73.9249,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
330,386,Tesla Model 3,100.0,93,Chicago,2024-01-17 01:00:00,2024-01-17 02:20:00,1.66576,23.5557,Evening,Sunday,2,DC Fast Charger,Commuter,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
331,387,Nissan Leaf,50.0,454,Houston,2024-01-17 02:00:00,2024-01-17 04:13:00,1.88677,6.55598,Night,Saturday,3,Level 1,Commuter,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
332,388,Nissan Leaf,50.0,17,Chicago,2024-01-17 03:00:00,2024-01-17 06:19:00,6.17642,21.0924,Evening,Friday,2,Level 1,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
333,390,Nissan Leaf,50.0,405,Chicago,2024-01-17 05:00:00,2024-01-17 05:58:00,1.53694,31.6838,Evening,Saturday,2,DC Fast Charger,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
334,391,Tesla Model 3,75.0,328,Houston,2024-01-17 06:00:00,2024-01-17 08:36:00,1.64578,7.46158,Evening,Tuesday,4,Level 2,Casual Driver,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
335,392,Hyundai Kona,62.0,149,Houston,2024-01-17 07:00:00,2024-01-17 08:51:00,1.96196,11.7393,Evening,Wednesday,3,Level 1,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
336,393,Hyundai Kona,85.0,377,Houston,2024-01-17 08:00:00,2024-01-17 08:39:00,3.971,32.9734,Evening,Tuesday,7,Level 2,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
337,394,Tesla Model 3,85.0,267,New York,2024-01-17 09:00:00,2024-01-17 11:15:00,2.53433,37.1092,Night,Friday,0,Level 2,Casual Driver,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,NY,New York,40.6943,-73.9249,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
338,395,Hyundai Kona,75.0,422,Los Angeles,2024-01-17 10:00:00,2024-01-17 13:16:00,3.14575,35.3507,Afternoon,Monday,6,DC Fast Charger,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,34.1139,-118.407,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
339,396,Hyundai Kona,60.7893,328,New York,2024-01-17 11:00:00,2024-01-17 14:59:00,2.85449,37.3139,Evening,Monday,2,DC Fast Charger,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
340,398,Chevy Bolt,50.0,472,Los Angeles,2024-01-17 13:00:00,2024-01-17 14:08:00,0.958022,10.5706,Afternoon,Tuesday,7,Level 2,Commuter,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
341,399,BMW i3,62.0,381,Chicago,2024-01-17 14:00:00,2024-01-17 14:50:00,2.23123,37.763,Morning,Saturday,2,Level 2,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
342,400,Nissan Leaf,75.0,35,Houston,2024-01-17 15:00:00,2024-01-17 16:34:00,1.06621,15.3072,Morning,Thursday,7,Level 1,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
343,401,Chevy Bolt,85.0,119,San Francisco,2024-01-17 16:00:00,2024-01-17 16:44:00,2.50146,13.9932,Evening,Thursday,1,DC Fast Charger,Long-Distance Traveler,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,CA,California,37.7562,-122.443,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
344,402,Hyundai Kona,75.0,14,Los Angeles,2024-01-17 17:00:00,2024-01-17 19:41:00,0.799134,8.27592,Morning,Monday,3,Level 1,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,34.1139,-118.407,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
345,403,Tesla Model 3,71.6455,14,New York,2024-01-17 18:00:00,2024-01-17 21:37:00,3.67414,32.9423,Evening,Tuesday,3,DC Fast Charger,Long-Distance Traveler,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
346,404,Hyundai Kona,62.0,266,Houston,2024-01-17 19:00:00,2024-01-17 20:30:00,2.89535,18.2725,Evening,Wednesday,3,DC Fast Charger,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
347,405,BMW i3,50.0,140,New York,2024-01-17 20:00:00,2024-01-17 22:57:00,1.31792,29.9431,Afternoon,Sunday,5,Level 1,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,NY,New York,40.6943,-73.9249,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
348,407,Tesla Model 3,100.0,364,Los Angeles,2024-01-17 22:00:00,2024-01-17 23:56:00,1.46311,14.2466,Evening,Tuesday,7,Level 2,Commuter,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
349,408,BMW i3,75.0,119,San Francisco,2024-01-17 23:00:00,2024-01-18 01:14:00,3.3058,35.6602,Morning,Thursday,5,DC Fast Charger,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,37.7562,-122.443,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
350,409,Hyundai Kona,75.0,238,Chicago,2024-01-18 00:00:00,2024-01-18 01:03:00,2.51512,35.7634,Afternoon,Friday,6,DC Fast Charger,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
351,410,BMW i3,100.0,34,New York,2024-01-18 01:00:00,2024-01-18 03:33:00,1.84967,30.7083,Morning,Thursday,7,DC Fast Charger,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
352,411,Nissan Leaf,46.8768,169,San Francisco,2024-01-18 02:00:00,2024-01-18 04:19:00,3.7753,30.5474,Afternoon,Tuesday,6,Level 2,Commuter,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,37.7562,-122.443,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
353,412,Nissan Leaf,50.0,10,Houston,2024-01-18 03:00:00,2024-01-18 06:25:00,1.10964,33.4576,Afternoon,Monday,3,DC Fast Charger,Commuter,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
354,413,Hyundai Kona,50.0,122,Chicago,2024-01-18 04:00:00,2024-01-18 05:02:00,2.97143,7.26089,Afternoon,Sunday,0,DC Fast Charger,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
355,414,BMW i3,85.0,401,San Francisco,2024-01-18 05:00:00,2024-01-18 07:07:00,3.39245,30.9455,Evening,Tuesday,0,Level 1,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,37.7562,-122.443,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
356,415,Tesla Model 3,62.0,145,New York,2024-01-18 06:00:00,2024-01-18 07:30:00,3.02357,11.6565,Night,Wednesday,0,Level 1,Commuter,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,NY,New York,40.6943,-73.9249,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
357,416,Hyundai Kona,50.0,451,Los Angeles,2024-01-18 07:00:00,2024-01-18 07:39:00,3.0304,11.4676,Evening,Saturday,7,Level 2,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
358,417,Nissan Leaf,100.0,446,Houston,2024-01-18 08:00:00,2024-01-18 11:31:00,0.639951,25.6301,Morning,Saturday,6,DC Fast Charger,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
359,418,Nissan Leaf,85.0,223,New York,2024-01-18 09:00:00,2024-01-18 10:53:00,0.775972,7.58756,Evening,Friday,0,Level 2,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,NY,New York,40.6943,-73.9249,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
